start_date,start_time,end_date,end_time,sum,Manual_Review,num_true_positives_pitchtracked
2/11/25,12:00:00,2/11/25,13:00:00,0,0,0
2/11/25,13:00:00,2/11/25,14:00:00,24,0,0
2/11/25,14:00:00,2/11/25,15:00:00,10,0,0
2/11/25,15:00:00,2/11/25,16:00:00,9,1,1
2/11/25,16:00:00,2/11/25,17:00:00,7,0,0
2/11/25,17:00:00,2/11/25,18:00:00,7,0,0
2/11/25,18:00:00,2/11/25,19:00:00,8,1,6
2/11/25,19:00:00,2/11/25,20:00:00,15,1,14
2/11/25,20:00:00,2/11/25,21:00:00,20,1,9
2/11/25,21:00:00,2/11/25,22:00:00,44,1,40
2/11/25,22:00:00,2/11/25,23:00:00,4,1,0
2/11/25,23:00:00,2/11/25,24:00:00,17,1,8
2/12/25,00:00:00,2/12/25,01:00:00,20,1,10
2/12/25,01:00:00,2/12/25,02:00:00,0,0,0
2/12/25,02:00:00,2/12/25,03:00:00,8,1,7
2/12/25,03:00:00,2/12/25,04:00:00,2,2,0
2/12/25,04:00:00,2/12/25,05:00:00,0,0,0
2/12/25,05:00:00,2/12/25,06:00:00,6,0,0
2/12/25,06:00:00,2/12/25,07:00:00,3,0,0
2/12/25,07:00:00,2/12/25,08:00:00,2,0,0
2/12/25,08:00:00,2/12/25,09:00:00,0,0,0
2/12/25,09:00:00,2/12/25,10:00:00,11,1,7
2/12/25,10:00:00,2/12/25,11:00:00,12,1,6
2/12/25,11:00:00,2/12/25,12:00:00,2,0,0
2/12/25,12:00:00,2/12/25,13:00:00,7,0,0
2/12/25,13:00:00,2/12/25,14:00:00,7,1,4
2/12/25,14:00:00,2/12/25,15:00:00,20,1,1
2/12/25,15:00:00,2/12/25,16:00:00,12,1,2
2/12/25,16:00:00,2/12/25,17:00:00,7,0,0
2/12/25,17:00:00,2/12/25,18:00:00,14,0,0
2/12/25,18:00:00,2/12/25,19:00:00,3,0,0
2/12/25,19:00:00,2/12/25,20:00:00,12,0,0
2/12/25,20:00:00,2/12/25,21:00:00,2,1,0
2/12/25,21:00:00,2/12/25,22:00:00,7,0,0
2/12/25,22:00:00,2/12/25,23:00:00,4,0,0
2/12/25,23:00:00,2/12/25,24:00:00,1,0,0
2/13/25,00:00:00,2/13/25,01:00:00,2,0,0
2/13/25,01:00:00,2/13/25,02:00:00,8,1,3
2/13/25,02:00:00,2/13/25,03:00:00,3,1,0
2/13/25,03:00:00,2/13/25,04:00:00,6,1,0
2/13/25,04:00:00,2/13/25,05:00:00,8,2,2
2/13/25,05:00:00,2/13/25,06:00:00,0,0,0
2/13/25,06:00:00,2/13/25,07:00:00,1,1,1
2/13/25,07:00:00,2/13/25,08:00:00,57,1,0
2/13/25,08:00:00,2/13/25,09:00:00,21,0,0
2/13/25,09:00:00,2/13/25,10:00:00,14,1,8
2/13/25,10:00:00,2/13/25,11:00:00,11,1,4
2/13/25,11:00:00,2/13/25,12:00:00,14,1,13
2/13/25,12:00:00,2/13/25,13:00:00,23,1,19
2/13/25,13:00:00,2/13/25,14:00:00,3,0,0
2/13/25,14:00:00,2/13/25,15:00:00,5,1,0
2/13/25,15:00:00,2/13/25,16:00:00,12,1,4
2/13/25,16:00:00,2/13/25,17:00:00,2,1,2
2/13/25,17:00:00,2/13/25,18:00:00,8,1,2
2/13/25,18:00:00,2/13/25,19:00:00,3,1,1
2/13/25,19:00:00,2/13/25,20:00:00,7,0,0
2/13/25,20:00:00,2/13/25,21:00:00,2,0,0
2/13/25,21:00:00,2/13/25,22:00:00,16,1,0
2/13/25,22:00:00,2/13/25,23:00:00,3,0,0
2/13/25,23:00:00,2/13/25,24:00:00,13,1,0
2/14/25,00:00:00,2/14/25,01:00:00,8,1,0
2/14/25,01:00:00,2/14/25,02:00:00,18,1,0
2/14/25,02:00:00,2/14/25,03:00:00,12,0,0
2/14/25,03:00:00,2/14/25,04:00:00,2,0,0
2/14/25,04:00:00,2/14/25,05:00:00,24,1,0
2/14/25,05:00:00,2/14/25,06:00:00,18,0,0
2/14/25,06:00:00,2/14/25,07:00:00,0,0,0
2/14/25,07:00:00,2/14/25,08:00:00,7,0,0
2/14/25,08:00:00,2/14/25,09:00:00,6,0,0
2/14/25,09:00:00,2/14/25,10:00:00,16,0,0
2/14/25,10:00:00,2/14/25,11:00:00,3,0,0
2/14/25,11:00:00,2/14/25,12:00:00,12,0,0
2/14/25,12:00:00,2/14/25,13:00:00,5,2,0
2/14/25,13:00:00,2/14/25,14:00:00,7,1,0
2/14/25,14:00:00,2/14/25,15:00:00,9,0,0
2/14/25,15:00:00,2/14/25,16:00:00,4,1,0
2/14/25,16:00:00,2/14/25,17:00:00,0,0,0
2/14/25,17:00:00,2/14/25,18:00:00,6,1,0
2/14/25,18:00:00,2/14/25,19:00:00,8,0,0
2/14/25,19:00:00,2/14/25,20:00:00,5,0,0
2/14/25,20:00:00,2/14/25,21:00:00,6,0,0
2/14/25,21:00:00,2/14/25,22:00:00,9,0,0
2/14/25,22:00:00,2/14/25,23:00:00,15,0,0
2/14/25,23:00:00,2/14/25,24:00:00,6,0,0
2/15/25,00:00:00,2/15/25,01:00:00,12,1,0
2/15/25,01:00:00,2/15/25,02:00:00,19,1,0
2/15/25,02:00:00,2/15/25,03:00:00,11,1,0
2/15/25,03:00:00,2/15/25,04:00:00,19,1,0
2/15/25,04:00:00,2/15/25,05:00:00,4,1,0
2/15/25,05:00:00,2/15/25,06:00:00,19,1,0
2/15/25,06:00:00,2/15/25,07:00:00,4,1,0
2/15/25,07:00:00,2/15/25,08:00:00,1,0,0
2/15/25,08:00:00,2/15/25,09:00:00,9,0,0
2/15/25,09:00:00,2/15/25,10:00:00,0,0,0
2/15/25,10:00:00,2/15/25,11:00:00,12,1,0
2/15/25,11:00:00,2/15/25,12:00:00,5,1,0
2/15/25,12:00:00,2/15/25,13:00:00,23,0,0
2/15/25,13:00:00,2/15/25,14:00:00,6,1,1
2/15/25,14:00:00,2/15/25,15:00:00,8,1,2
2/15/25,15:00:00,2/15/25,16:00:00,4,2,0
2/15/25,16:00:00,2/15/25,17:00:00,25,2,0
2/15/25,17:00:00,2/15/25,18:00:00,6,1,0
2/15/25,18:00:00,2/15/25,19:00:00,10,0,0
2/15/25,19:00:00,2/15/25,20:00:00,10,1,0
2/15/25,20:00:00,2/15/25,21:00:00,5,0,0
2/15/25,21:00:00,2/15/25,22:00:00,13,0,0
2/15/25,22:00:00,2/15/25,23:00:00,6,0,0
2/15/25,23:00:00,2/15/25,24:00:00,7,0,0
2/16/25,00:00:00,2/16/25,01:00:00,8,1,3
2/16/25,01:00:00,2/16/25,02:00:00,9,1,0
2/16/25,02:00:00,2/16/25,03:00:00,5,1,0
2/16/25,03:00:00,2/16/25,04:00:00,13,1,0
2/16/25,04:00:00,2/16/25,05:00:00,6,2,0
2/16/25,05:00:00,2/16/25,06:00:00,2,0,0
2/16/25,06:00:00,2/16/25,07:00:00,7,1,0
2/16/25,07:00:00,2/16/25,08:00:00,1,0,0
2/16/25,08:00:00,2/16/25,09:00:00,14,0,0
2/16/25,09:00:00,2/16/25,10:00:00,7,1,0
2/16/25,10:00:00,2/16/25,11:00:00,13,2,0
2/16/25,11:00:00,2/16/25,12:00:00,2,0,0
2/16/25,12:00:00,2/16/25,13:00:00,7,0,0
2/16/25,13:00:00,2/16/25,14:00:00,0,0,0
2/16/25,14:00:00,2/16/25,15:00:00,6,1,1
2/16/25,15:00:00,2/16/25,16:00:00,5,0,0
2/16/25,16:00:00,2/16/25,17:00:00,2,0,0
2/16/25,17:00:00,2/16/25,18:00:00,6,0,0
2/16/25,18:00:00,2/16/25,19:00:00,4,2,0
2/16/25,19:00:00,2/16/25,20:00:00,9,2,0
2/16/25,20:00:00,2/16/25,21:00:00,5,1,0
2/16/25,21:00:00,2/16/25,22:00:00,27,2,0
2/16/25,22:00:00,2/16/25,23:00:00,3,0,0
2/16/25,23:00:00,2/16/25,24:00:00,12,0,0
2/17/25,00:00:00,2/17/25,01:00:00,4,0,0
2/17/25,01:00:00,2/17/25,02:00:00,18,0,0
2/17/25,02:00:00,2/17/25,03:00:00,7,1,0
2/17/25,03:00:00,2/17/25,04:00:00,14,0,0
2/17/25,04:00:00,2/17/25,05:00:00,4,0,0
2/17/25,05:00:00,2/17/25,06:00:00,7,1,5
2/17/25,06:00:00,2/17/25,07:00:00,4,2,0
2/17/25,07:00:00,2/17/25,08:00:00,5,0,0
2/17/25,08:00:00,2/17/25,09:00:00,13,1,0
2/17/25,09:00:00,2/17/25,10:00:00,9,0,0
2/17/25,10:00:00,2/17/25,11:00:00,23,1,0
2/17/25,11:00:00,2/17/25,12:00:00,9,0,0
2/17/25,12:00:00,2/17/25,13:00:00,7,0,0
2/17/25,13:00:00,2/17/25,14:00:00,7,2,0
2/17/25,14:00:00,2/17/25,15:00:00,9,1,0
2/17/25,15:00:00,2/17/25,16:00:00,3,0,0
2/17/25,16:00:00,2/17/25,17:00:00,11,1,0
2/17/25,17:00:00,2/17/25,18:00:00,8,1,0
2/17/25,18:00:00,2/17/25,19:00:00,7,1,0
2/17/25,19:00:00,2/17/25,20:00:00,4,0,0
2/17/25,20:00:00,2/17/25,21:00:00,8,2,0
2/17/25,21:00:00,2/17/25,22:00:00,11,0,0
2/17/25,22:00:00,2/17/25,23:00:00,4,0,0
2/17/25,23:00:00,2/17/25,24:00:00,13,0,0
2/18/25,00:00:00,2/18/25,01:00:00,9,0,0
2/18/25,01:00:00,2/18/25,02:00:00,7,0,0
2/18/25,02:00:00,2/18/25,03:00:00,1,0,0
2/18/25,03:00:00,2/18/25,04:00:00,10,0,0
2/18/25,04:00:00,2/18/25,05:00:00,2,0,0
2/18/25,05:00:00,2/18/25,06:00:00,8,0,0
2/18/25,06:00:00,2/18/25,07:00:00,14,0,0
2/18/25,07:00:00,2/18/25,08:00:00,3,0,0
2/18/25,08:00:00,2/18/25,09:00:00,13,0,0
2/18/25,09:00:00,2/18/25,10:00:00,6,0,0
2/18/25,10:00:00,2/18/25,11:00:00,13,0,0
2/18/25,11:00:00,2/18/25,12:00:00,11,1,0
2/18/25,12:00:00,2/18/25,13:00:00,19,0,0
2/18/25,13:00:00,2/18/25,14:00:00,1,2,0
2/18/25,14:00:00,2/18/25,15:00:00,15,0,0
2/18/25,15:00:00,2/18/25,16:00:00,5,2,0
2/18/25,16:00:00,2/18/25,17:00:00,22,0,0
2/18/25,17:00:00,2/18/25,18:00:00,2,0,0
2/18/25,18:00:00,2/18/25,19:00:00,2,0,0
2/18/25,19:00:00,2/18/25,20:00:00,7,0,0
2/18/25,20:00:00,2/18/25,21:00:00,4,0,0
2/18/25,21:00:00,2/18/25,22:00:00,17,0,0
2/18/25,22:00:00,2/18/25,23:00:00,6,2,0
2/18/25,23:00:00,2/18/25,24:00:00,13,0,0
2/19/25,00:00:00,2/19/25,01:00:00,5,0,0
2/19/25,01:00:00,2/19/25,02:00:00,25,1,0
2/19/25,02:00:00,2/19/25,03:00:00,3,0,0
2/19/25,03:00:00,2/19/25,04:00:00,11,1,0
2/19/25,04:00:00,2/19/25,05:00:00,8,1,0
2/19/25,05:00:00,2/19/25,06:00:00,4,1,0
2/19/25,06:00:00,2/19/25,07:00:00,14,2,0
2/19/25,07:00:00,2/19/25,08:00:00,4,1,0
2/19/25,08:00:00,2/19/25,09:00:00,13,1,0
2/19/25,09:00:00,2/19/25,10:00:00,13,1,1
2/19/25,10:00:00,2/19/25,11:00:00,12,1,6
2/19/25,11:00:00,2/19/25,12:00:00,2,1,0
2/19/25,12:00:00,2/19/25,13:00:00,14,0,0
2/19/25,13:00:00,2/19/25,14:00:00,8,1,0
2/19/25,14:00:00,2/19/25,15:00:00,12,1,0
2/19/25,15:00:00,2/19/25,16:00:00,6,1,0
2/19/25,16:00:00,2/19/25,17:00:00,8,1,0
2/19/25,17:00:00,2/19/25,18:00:00,8,1,0
2/19/25,18:00:00,2/19/25,19:00:00,1,0,0
2/19/25,19:00:00,2/19/25,20:00:00,9,1,0
2/19/25,20:00:00,2/19/25,21:00:00,3,0,0
2/19/25,21:00:00,2/19/25,22:00:00,14,0,0
2/19/25,22:00:00,2/19/25,23:00:00,7,0,0
2/19/25,23:00:00,2/19/25,24:00:00,13,0,0
2/20/25,00:00:00,2/20/25,01:00:00,3,0,0
2/20/25,01:00:00,2/20/25,02:00:00,16,0,0
2/20/25,02:00:00,2/20/25,03:00:00,3,0,0
2/20/25,03:00:00,2/20/25,04:00:00,0,0,0
2/20/25,04:00:00,2/20/25,05:00:00,11,0,0
2/20/25,05:00:00,2/20/25,06:00:00,4,0,0
2/20/25,06:00:00,2/20/25,07:00:00,8,0,0
2/20/25,07:00:00,2/20/25,08:00:00,10,0,0
2/20/25,08:00:00,2/20/25,09:00:00,7,0,0
2/20/25,09:00:00,2/20/25,10:00:00,6,1,0
2/20/25,10:00:00,2/20/25,11:00:00,11,1,0
2/20/25,11:00:00,2/20/25,12:00:00,4,1,0
2/20/25,12:00:00,2/20/25,13:00:00,6,1,0
2/20/25,13:00:00,2/20/25,14:00:00,9,0,0
2/20/25,14:00:00,2/20/25,15:00:00,6,1,0
2/20/25,15:00:00,2/20/25,16:00:00,17,0,0
2/20/25,16:00:00,2/20/25,17:00:00,15,1,13
2/20/25,17:00:00,2/20/25,18:00:00,12,1,1
2/20/25,18:00:00,2/20/25,19:00:00,2,0,0
2/20/25,19:00:00,2/20/25,20:00:00,10,1,0
2/20/25,20:00:00,2/20/25,21:00:00,6,0,0
2/20/25,21:00:00,2/20/25,22:00:00,3,0,0
2/20/25,22:00:00,2/20/25,23:00:00,0,0,0
2/20/25,23:00:00,2/20/25,24:00:00,11,1,7
2/21/25,00:00:00,2/21/25,01:00:00,7,0,0
2/21/25,01:00:00,2/21/25,02:00:00,5,0,0
2/21/25,02:00:00,2/21/25,03:00:00,13,1,0
2/21/25,03:00:00,2/21/25,04:00:00,11,1,9
2/21/25,04:00:00,2/21/25,05:00:00,8,1,8
2/21/25,05:00:00,2/21/25,06:00:00,13,1,11
2/21/25,06:00:00,2/21/25,07:00:00,30,1,15
2/21/25,07:00:00,2/21/25,08:00:00,2,1,0
2/21/25,08:00:00,2/21/25,09:00:00,9,1,0
2/21/25,09:00:00,2/21/25,10:00:00,10,1,3
2/21/25,10:00:00,2/21/25,11:00:00,71,1,68
2/21/25,11:00:00,2/21/25,12:00:00,10,1,1
2/21/25,12:00:00,2/21/25,13:00:00,4,1,0
2/21/25,13:00:00,2/21/25,14:00:00,7,1,0
2/21/25,14:00:00,2/21/25,15:00:00,7,1,0
2/21/25,15:00:00,2/21/25,16:00:00,4,1,0
2/21/25,16:00:00,2/21/25,17:00:00,0,0,0
2/21/25,17:00:00,2/21/25,18:00:00,2,1,1
2/21/25,18:00:00,2/21/25,19:00:00,8,1,6
2/21/25,19:00:00,2/21/25,20:00:00,6,1,0
2/21/25,20:00:00,2/21/25,21:00:00,2,1,1
2/21/25,21:00:00,2/21/25,22:00:00,17,1,7
2/21/25,22:00:00,2/21/25,23:00:00,23,1,14
